"ID","OWNERID","ISDELETED","NAME","RECORDTYPEID","CREATEDDATE","CREATEDBYID","LASTMODIFIEDDATE","LASTMODIFIEDBYID","SYSTEMMODSTAMP","MAYEDIT","ISLOCKED","LASTVIEWEDDATE","LASTREFERENCEDDATE","COUNTRY_OVERRIDE_VOD__C","EVENT_CONFIGURATION_VOD__C","EVENT_LAYOUT_VOD__C","EVENT_STATUS_VOD__C","EVENT_TEAM_ROLE_VOD__C","EXPENSE_ESTIMATE_LAYOUT_VOD__C","EXPENSE_HEADER_LAYOUT_VOD__C","EXPENSE_LINE_LAYOUT_VOD__C","EXTERNAL_ID__C","USER_PROFILE_ID_VOD__C","USER_PROFILE_VOD__C","VISIBLE_BUTTONS_VOD__C","EVENT_OBJECT_NAME_VOD__C","PAGE_LAYOUT_VOD__C","RECORD_TYPE_VOD__C"
"a4d3E000000025iQAA","00558000001PGYZAA4","false","EPL -0000000320","01258000000QJVOAA4","2017-02-22T21:14:55.000Z","00558000001PGYZAA4","2017-02-23T01:23:33.000Z","00558000001PGYZAA4","2017-02-23T11:56:06.000Z","true","false","2017-02-23T01:27:42.000Z","2017-02-23T01:27:42.000Z","","a4b3E00000001J3QAI","","Pre-Event","Read Only","","","","EPL -00000002778","","","","EM_Event_Team_Member_vod","Simple Activity Team Member Layout","Activity_Team_Member_Simple_HCPTS"
"a4d3E000000027tQAA","00558000001PGYZAA4","false","EPL -0000000345","01258000000QJVOAA4","2017-02-23T01:24:10.000Z","00558000001PGYZAA4","2017-02-23T01:24:10.000Z","00558000001PGYZAA4","2017-02-23T01:24:10.000Z","true","false","2017-02-24T00:58:56.000Z","2017-02-24T00:58:56.000Z","","a4b3E00000001J3QAI","","Post-Event","Read Only","","","","EPL -00000002779","","","","EM_Event_Team_Member_vod","Simple Activity Team Member Layout","Activity_Team_Member_Simple_HCPTS"
"a4d3E000000029BQAQ","00558000001PGYZAA4","false","EPL -0000000359","012d0000000XPG9AAO","2017-02-23T20:26:02.000Z","00558000001PGYZAA4","2017-02-23T20:39:23.000Z","00558000001PGYZAA4","2017-02-23T20:39:23.000Z","true","false","2017-02-23T20:39:23.000Z","2017-02-23T20:39:23.000Z","","a4b3E00000001J3QAI","BMS_Simple_Read_Only","Pre-Event","Approver_vod","","","","EPL -0000033249","","","","","",""
"a4d3E00000002AYQAY","00558000001PGYZAA4","false","EPL -0000000376","01258000000QJVOAA4","2017-02-24T02:04:58.000Z","00558000001PGYZAA4","2017-02-24T02:05:05.000Z","00558000001PGYZAA4","2017-02-24T02:05:05.000Z","true","false","2017-02-24T02:05:05.000Z","2017-02-24T02:05:05.000Z","","a4b3E00000001J3QAI","","Post-Event-PostApproval","Read Only","","","","0000000376","","","","EM_Attendee_vod","BMS_HCPTS_Simple_Attendee_Layout","Simple_Attendee_HCPTS"
"a4d3E00000002AdQAI","00558000001PGYZAA4","false","EPL -0000000377","01258000000QJVOAA4","2017-02-24T02:05:18.000Z","00558000001PGYZAA4","2017-02-24T02:05:18.000Z","00558000001PGYZAA4","2017-02-24T02:05:18.000Z","true","false","2017-02-24T02:05:18.000Z","2017-02-24T02:05:18.000Z","","a4b3E00000001J3QAI","","Post-Event-PostApproval","Read Only","","","","EPL -0002212362","","","","Expense_Header_vod","BMS Simple Expense Header ReadOnly Layout",""
"a4d3E000000028DQAQ","00558000001PGYZAA4","false","EPL -0000000349","01258000000QJVOAA4","2017-02-23T01:44:25.000Z","00558000001PGYZAA4","2017-02-23T01:44:25.000Z","00558000001PGYZAA4","2017-02-23T01:44:25.000Z","true","false","2017-02-23T16:33:58.000Z","2017-02-23T16:33:58.000Z","","a4b3E00000001J3QAI","","Closed_vod","","","","","EPL -00000008892","","","","Expense_Line_vod","BMS Simple Expense Line Readonly Layout",""
"a4d3E000000027jQAA","00558000001PGYZAA4","false","EPL -0000000343","01258000000QJVOAA4","2017-02-23T01:21:23.000Z","00558000001PGYZAA4","2017-02-23T01:21:23.000Z","00558000001PGYZAA4","2017-02-23T01:21:23.000Z","true","false","2017-02-23T01:21:23.000Z","2017-02-23T01:21:23.000Z","","a4b3E00000001J3QAI","","Post-Event","Read Only","","","","EPL -00000002967","","","","EM_Event_Budget_vod","Simple WBSCC Budget Layout","WBS_CC_Simple_HCPTS"
"a4d3E00000002AOQAY","00558000001PGYZAA4","false","EPL -0000000374","01258000000QJVOAA4","2017-02-24T02:04:09.000Z","00558000001PGYZAA4","2017-02-24T02:04:09.000Z","00558000001PGYZAA4","2017-02-24T02:04:09.000Z","true","false","2017-02-24T02:04:09.000Z","2017-02-24T02:04:09.000Z","","a4b3E00000001J3QAI","","Post-Event-PostApproval","","","","","EPL -0000121362","","","","EM_Expense_Estimate_vod","BMS Expense Estimate Read Only",""
"a4d3E000000028wQAA","00558000001PGYZAA4","false","EPL -0000000356","01258000000QJVOAA4","2017-02-23T20:13:11.000Z","00558000001PGYZAA4","2017-02-23T20:13:11.000Z","00558000001PGYZAA4","2017-02-23T20:13:11.000Z","true","false","2017-02-23T20:13:11.000Z","2017-02-23T20:13:11.000Z","","a4b3E00000001J3QAI","","Pre-Event","Read Only","","","","EPL -00000008891","","","","Expense_Header_vod","BMS Simple Expense Header ReadOnly Layout",""
"a4d3E00000002AJQAY","00558000001PGYZAA4","false","EPL -0000000373","01258000000QJVOAA4","2017-02-24T02:03:23.000Z","00558000001PGYZAA4","2017-02-24T02:03:23.000Z","00558000001PGYZAA4","2017-02-24T02:03:23.000Z","true","false","2017-02-24T02:03:23.000Z","2017-02-24T02:03:23.000Z","","a4b3E00000001J3QAI","","Post-Event-PostApproval","","","","","EPL -0000011362","","","","EM_Event_Budget_vod","Simple WBSCC Budget Layout","WBS_CC_Simple_HCPTS"
"a4d3E000000029kQAA","00558000001PGYZAA4","false","EPL -0000000366","012d0000000XPG9AAO","2017-02-24T00:51:55.000Z","00558000001PGYZAA4","2017-02-24T00:51:55.000Z","00558000001PGYZAA4","2017-02-24T00:51:55.000Z","true","false","2017-02-24T02:01:25.000Z","2017-02-24T02:01:25.000Z","","a4b3E00000001J3QAI","BMS_Simple_Read_Only","Approved_vod","Read Only","","","","EPL -0000001304","","","","","",""
"a4d3E000000029pQAA","00558000001PGYZAA4","false","EPL -0000000367","01258000000QJVOAA4","2017-02-24T00:54:04.000Z","00558000001PGYZAA4","2017-02-24T00:54:04.000Z","00558000001PGYZAA4","2017-02-24T00:54:04.000Z","true","false","2017-02-24T02:04:45.000Z","2017-02-24T02:04:45.000Z","","a4b3E00000001J3QAI","","Approved_vod","Read Only","","","","","","","","EM_Attendee_vod","BMS_HCPTS_Simple_Attendee_Layout","Simple_Attendee_HCPTS"
"a4d3E00000002A4QAI","00558000001PGYZAA4","false","EPL -0000000370","01258000000QJVOAA4","2017-02-24T00:59:11.000Z","00558000001PGYZAA4","2017-02-24T00:59:11.000Z","00558000001PGYZAA4","2017-02-24T00:59:11.000Z","true","false","2017-02-24T02:05:37.000Z","2017-02-24T02:05:37.000Z","","a4b3E00000001J3QAI","","Approved_vod","Read Only","","","","EPL -00000102779","","","","EM_Event_Team_Member_vod","Simple Activity Team Member Layout","Activity_Team_Member_Simple_HCPTS"
"a4d3E000000025xQAA","00558000001PGYZAA4","false","EPL -0000000323","01258000000QJVOAA4","2017-02-22T21:31:46.000Z","00558000001PGYZAA4","2017-02-22T21:31:46.000Z","00558000001PGYZAA4","2017-02-23T11:56:06.000Z","true","false","2017-02-23T01:44:12.000Z","2017-02-23T01:44:12.000Z","","a4b3E00000001J3QAI","","","Read Only","","","","EPL -00000009992","","","","Expense_Line_vod","BMS Simple Expense Line Readonly Layout",""
"a4d3E000000028rQAA","00558000001PGYZAA4","false","EPL -0000000355","012d0000000XPG9AAO","2017-02-23T20:10:20.000Z","00558000001PGYZAA4","2017-02-23T20:10:20.000Z","00558000001PGYZAA4","2017-02-23T20:10:20.000Z","true","false","2017-02-23T20:10:21.000Z","2017-02-23T20:10:21.000Z","a4a3E00000002l6QAA","a4b3E00000001J3QAI","BMS_Simple_PrePostEvent","Pre-Event","Read Only","","","","EPL -0000001300","","","","","",""
"a4d3E000000029aQAA","00558000001PGYZAA4","false","EPL -0000000364","01258000000QJVOAA4","2017-02-23T22:59:46.000Z","00558000001PGYZAA4","2017-02-23T23:00:10.000Z","00558000001PGYZAA4","2017-02-23T23:00:10.000Z","true","false","2017-02-24T02:04:24.000Z","2017-02-24T02:04:24.000Z","","a4b3E00000001J3QAI","","Approved_vod","","","","","EPL -0000002362","","",";Edit;Delete;","Expense_Header_vod","BMS Event Speaker Expense Header Layout",""
"a4d3E00000002AEQAY","00558000001PGYZAA4","false","EPL -0000000372","01258000000QJVOAA4","2017-02-24T02:02:27.000Z","00558000001PGYZAA4","2017-02-24T02:02:36.000Z","00558000001PGYZAA4","2017-02-24T02:02:36.000Z","true","false","2017-02-24T02:02:36.000Z","2017-02-24T02:02:36.000Z","","a4b3E00000001J3QAI","","Post-Event-PostApproval","","","","","0000000372","","",";Edit;Delete;","EM_Attendee_vod","BMS_HCPTS_Simple_Attendee_Layout","Simple_Attendee_HCPTS"
"a4d3E000000025sQAA","00558000001PGYZAA4","false","EPL -0000000322","01258000000QJVOAA4","2017-02-22T21:31:26.000Z","00558000001PGYZAA4","2017-02-23T01:44:02.000Z","00558000001PGYZAA4","2017-02-23T11:56:06.000Z","true","false","2017-02-23T16:33:03.000Z","2017-02-23T16:33:03.000Z","","a4b3E00000001J3QAI","","Closed_vod","","","","","EPL -00000009881","","","","Expense_Header_vod","BMS Simple Expense Header ReadOnly Layout",""
"a4d3E000000028IQAQ","00558000001PGYZAA4","false","EPL -0000000350","01258000000QJVOAA4","2017-02-23T01:44:43.000Z","00558000001PGYZAA4","2017-02-23T01:44:43.000Z","00558000001PGYZAA4","2017-02-23T01:44:43.000Z","true","false","2017-02-23T16:34:21.000Z","2017-02-23T16:34:21.000Z","","a4b3E00000001J3QAI","","Closed_vod","","","","","EPL -00000009883","","","","EM_Expense_Estimate_vod","BMS Expense Estimate Read Only",""
"a4d3E000000027ZQAQ","00558000001PGYZAA4","false","EPL -0000000341","01258000000QJVOAA4","2017-02-23T01:12:28.000Z","00558000001PGYZAA4","2017-02-23T01:12:28.000Z","00558000001PGYZAA4","2017-02-23T01:12:28.000Z","true","false","2017-02-23T01:21:08.000Z","2017-02-23T01:21:08.000Z","","a4b3E00000001J3QAI","","Pre-Event","Read Only","","","","EPL -00000002966","","","","EM_Event_Budget_vod","Simple WBSCC Budget Layout","WBS_CC_Simple_HCPTS"
"a4d3E00000002AnQAI","00558000001PGYZAA4","false","EPL -0000000379","01258000000QJVOAA4","2017-02-24T02:05:48.000Z","00558000001PGYZAA4","2017-02-24T02:05:48.000Z","00558000001PGYZAA4","2017-02-24T02:05:48.000Z","true","false","2017-02-24T02:05:48.000Z","2017-02-24T02:05:48.000Z","","a4b3E00000001J3QAI","","Post-Event-PostApproval","Read Only","","","","EPL -002343102779","","","","EM_Event_Team_Member_vod","Simple Activity Team Member Layout","Activity_Team_Member_Simple_HCPTS"
"a4d3E000000021HQAQ","00558000001PGYZAA4","false","EPL -0000000291","012d0000000XPG9AAO","2017-02-14T22:04:03.000Z","00558000001PGYZAA4","2017-02-23T19:43:16.000Z","00558000001PGYZAA4","2017-02-23T19:43:16.000Z","true","false","2017-02-23T19:43:16.000Z","2017-02-23T19:43:16.000Z","","a4b3E00000001J3QAI","BMS_Simple_PrePostEvent","Pending_Approval_vod","","BMS Expense Estimate Layout","BMS Simple Expense Header Layout","BMS Simple Expense Line Layout","EPL -0000000291","00ed00000019hV7AAI","System Administrator",";Recall_Approval_Request_vod;","","",""
"a4d3E000000020YQAQ","00558000000wgn0AAA","false","EPL -0000000286","012d0000000XPG9AAO","2017-02-14T01:20:25.000Z","00558000000wgn0AAA","2017-02-21T22:47:13.000Z","00558000001PGYZAA4","2017-02-22T11:37:38.000Z","true","false","2017-02-23T20:09:31.000Z","2017-02-23T20:09:31.000Z","a4a3E00000002l6QAA","a4b3E00000001J3QAI","BMS_Simple_PrePostEvent","Pre-Event","","BMS Expense Estimate Layout","BMS Simple Expense Header Layout","BMS Simple Expense Line Layout","EPL -0000000300","","",";Edit;Attendee_Reconciliation_vod;Manage_Attendees_vod;Reschedule_vod;Cancel_Event_vod;Generate_Sign_In_vod;Generate_Invitations_vod;View_Signatures_vod;Submit_for_SFDC_Approval_BMS;","","",""
"a4d3E00000001xFQAQ","00558000001PGYZAA4","false","EPL -0000000249","012d0000000XPG9AAO","2017-02-12T12:52:40.000Z","00558000001PGYZAA4","2017-02-21T22:29:34.000Z","00558000001PGYZAA4","2017-02-23T11:56:06.000Z","true","false","2017-02-23T20:24:02.000Z","2017-02-23T20:24:02.000Z","","a4b3E00000001J3QAI","BMS_Simple_Read_Only","Pre-Event","Read Only","BMS Expense Estimate Read Only","BMS Simple Expense Header ReadOnly Layout","BMS Simple Expense Line Readonly Layout","EPL -0000000249","","","","","",""
"a4d3E00000001y8QAA","00558000001PGYZAA4","false","EPL -0000000261","012d0000000XPG9AAO","2017-02-12T13:08:13.000Z","00558000001PGYZAA4","2017-02-23T02:22:36.000Z","00558000001PGYZAA4","2017-02-23T02:22:36.000Z","true","false","2017-02-23T02:22:36.000Z","2017-02-23T02:22:36.000Z","","a4b3E00000001J3QAI","BMS_Simple_PrePostEvent","Post-Event","","BMS Expense Estimate Layout","BMS Simple Expense Header Layout","BMS Simple Expense Line Layout","EPL -0000000261","","",";Edit;Close_vod;Attendee_Reconciliation_vod;Manage_Attendees_vod;Reschedule_vod;Cancel_Event_vod;Generate_Sign_In_vod;Generate_Invitations_vod;View_Signatures_vod;Submit_for_Approval_vod;","","",""
"a4d3E000000022KQAQ","00558000001PGYZAA4","false","EPL -0000000304","012d0000000XPG9AAO","2017-02-14T22:28:03.000Z","00558000001PGYZAA4","2017-02-24T01:41:26.000Z","00558000001PGYZAA4","2017-02-24T01:41:26.000Z","true","false","2017-02-24T01:41:26.000Z","2017-02-24T01:41:26.000Z","","a4b3E00000001J3QAI","BMS_Simple_ApprovedPostEvent","Approved_vod","","","","","EPL -0000000304","","",";Attendee_Reconciliation_vod;Manage_Attendees_vod;Cancel_Event_vod;Replan_BMS;PostEventPostApproval;Generate_Sign_In_vod;Generate_Invitations_vod;View_Signatures_vod;","","",""
"a4d3E0000000220QAA","00558000001PGYZAA4","false","EPL -0000000300","01258000000QJVOAA4","2017-02-14T22:15:41.000Z","00558000001PGYZAA4","2017-02-14T22:16:05.000Z","00558000001PGYZAA4","2017-02-15T11:38:08.000Z","true","false","2017-02-14T23:05:50.000Z","2017-02-14T23:05:50.000Z","","a4b3E00000001J3QAI","","Pending_Approval_vod","","","","","EPL -00000003001","","","","EM_Event_Material_vod","Simple Material",""
"a4d3E00000001xtQAA","00558000001PGYZAA4","false","EPL -0000000258","012d0000000XPG9AAO","2017-02-12T13:06:44.000Z","00558000001PGYZAA4","2017-02-14T23:29:24.000Z","00558000001PGYZAA4","2017-02-15T11:38:08.000Z","true","false","2017-02-14T23:29:25.000Z","2017-02-14T23:29:25.000Z","","a4b3E00000001J3QAI","BMS_Simple_Read_Only","Post-Event","Read Only","BMS Expense Estimate Read Only","BMS Simple Expense Header ReadOnly Layout","BMS Simple Expense Line Readonly Layout","EPL -0000000258","","","","","",""
"a4d3E00000001zzQAA","00558000001PGYZAA4","false","EPL -0000000279","01258000000QJVOAA4","2017-02-13T19:52:22.000Z","00558000001PGYZAA4","2017-02-13T19:52:48.000Z","00558000001PGYZAA4","2017-02-14T11:37:20.000Z","true","false","2017-02-13T19:52:48.000Z","2017-02-13T19:52:48.000Z","","a4b3E00000001J3QAI","","","Read Only","","","","EPL -0000000279","","","","EM_Event_Speaker_vod","BMS Services Simplified Event Speaker Layout",""
"a4d3E000000022tQAA","00558000001PGYZAA4","false","EPL -0000000309","012d0000000XPG9AAO","2017-02-15T11:31:42.000Z","00558000001PGYZAA4","2017-02-15T11:31:53.000Z","00558000001PGYZAA4","2017-02-16T11:37:23.000Z","true","false","2017-02-15T11:34:47.000Z","2017-02-15T11:34:47.000Z","","a4b3E00000001J3QAI","BMS_Simple_Read_Only","Pending_Approval_vod","Organizer_vod","BMS Expense Estimate Read Only","BMS Simple Expense Header ReadOnly Layout","BMS Simple Expense Line Readonly Layout","EPL -0000000309","","",";Recall_Approval_Request_vod;","","",""
"a4d3E000000020xQAA","00558000001PGYZAA4","false","EPL -0000000287","012d0000000XPG9AAO","2017-02-14T22:01:31.000Z","00558000001PGYZAA4","2017-02-14T23:32:06.000Z","00558000001PGYZAA4","2017-02-23T11:56:06.000Z","true","false","2017-02-22T21:30:59.000Z","2017-02-22T21:30:59.000Z","","a4b3E00000001J3QAI","BMS_Simple_Read_Only","Pending_Approval_vod","","BMS Expense Estimate Read Only","BMS Simple Expense Header ReadOnly Layout","BMS Simple Expense Line Readonly Layout","EPL -0000000287","","","","","",""
"a4d3E000000022ZQAQ","00558000001PGYZAA4","false","EPL -0000000307","01258000000QJVOAA4","2017-02-14T23:06:20.000Z","00558000001PGYZAA4","2017-02-14T23:06:20.000Z","00558000001PGYZAA4","2017-02-15T11:38:08.000Z","true","false","2017-02-14T23:06:21.000Z","2017-02-14T23:06:21.000Z","","a4b3E00000001J3QAI","","Post-Event-PostApproval","","","","","","","","","EM_Attendee_vod","BMS_HCPTS_Simple_Attendee_Layout",""
